订单号,订单提交时间,订单状态,店铺名称,商品名称,商品链接,型号款式,商品数量,商品金额,实付金额,运费,物流公司（当前仅支持未完结订单）,物流单号（当前仅支持未完结订单）,_order_id,_amount,_date,_vendor,_description,_match_invoice_file,_match_invoice_id,_match_score
3.202958352610828e+18,2026-01-23 16:12:51,买家已付款,广陆旗舰店,【优惠价】广陆原点数显卡尺0-150-200-300数字电子不锈钢工业文玩油标包邮,https://item.taobao.com/item.htm?id=39422439278&mi_id=0000JKnj5PwfY00JnuLgVBHoPr0AsF1tt3X46NG-abw7qtM,原点0-150mm（塑胶壳+金属面板）,1.0,￥189.00,￥166.00,￥0.00,,,3.202958352610828e+18,166.0,2026-01-23,广陆旗舰店,【优惠价】广陆原点数显卡尺0-150-200-300数字电子不锈钢工业文玩油标包邮,,,
3.2023349790208276e+18,2026-01-23 15:38:57,卖家已发货,博一电子,0.04*12345689000股 丝包线 多股丝包线 利兹线高频线 纱包线纯铜,https://item.taobao.com/item.htm?id=573902310960&mi_id=00006UB_SshtKVung6Rk-n4FipRvRFBBv8Zr_Ih7SaSA4ro,0.04X1200股/1米,30.0,￥5.50,￥174.00,￥9.00,中通快递,78976765217976,3.2023349790208276e+18,174.0,2026-01-23,博一电子,0.04*12345689000股 丝包线 多股丝包线 利兹线高频线 纱包线纯铜,,,
3.202216358786828e+18,2026-01-23 13:54:39,卖家已发货,拓竹官方旗舰店,拓竹 热床刮刀刀片 3D打印机配件,https://item.taobao.com/item.htm?id=694046419538&mi_id=00000n-IWOfuOCd0XsVGexNIYX4GACtsDq8VAGRTgER5P1s,热床刮刀刀片,1.0,￥25.00,￥327.32,￥0.00,,,3.202216358786828e+18,327.32,2026-01-23,拓竹官方旗舰店,拓竹 热床刮刀刀片 3D打印机配件,,,
,,,,【会员专享】拓竹3D打印配件 单件6折起 限时抢购,https://item.taobao.com/item.htm?id=985511290426&mi_id=0000NusQ570apAVWTlDIikD9QLGRFlTWYu_tzmSyMRs2W20,固体胶3支装（单支到手6折）,1.0,￥75.00,,,,,,,,nan,【会员专享】拓竹3D打印配件 单件6折起 限时抢购,,,
,,,,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,https://item.taobao.com/item.htm?id=693992822734&mi_id=0000PrV9jQm1HH8MR823JFjIV_xmHuFEf_Ql6Sl0DHCRWnc,哑光炭黑11101【含料盘】,1.0,￥79.00,,,,,,,,nan,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,,,
,,,,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,https://item.taobao.com/item.htm?id=693992822734&mi_id=0000PrV9jQm1HH8MR823JFjIV_xmHuFEf_Ql6Sl0DHCRWnc,哑光草绿11500【含料盘】,1.0,￥79.00,,,,,,,,nan,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,,,
,,,,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,https://item.taobao.com/item.htm?id=693992822734&mi_id=0000PrV9jQm1HH8MR823JFjIV_xmHuFEf_Ql6Sl0DHCRWnc,哑光冰蓝11601【含料盘】,1.0,￥79.00,,,,,,,,nan,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,,,
,,,,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,https://item.taobao.com/item.htm?id=693992822734&mi_id=0000PrV9jQm1HH8MR823JFjIV_xmHuFEf_Ql6Sl0DHCRWnc,哑光橘橙11300【含料盘】,1.0,￥79.00,,,,,,,,nan,拓竹PLA Matte哑光 3D打印耗材 高韧性易剥离高速易打印 RFID智能参数识别,,,
3.202216358793828e+18,2026-01-23 13:54:39,卖家已发货,polymaker旗舰店,【优惠价】[新品] Polymaker HT-PLA 耐高温PLA HT-PLA-GF 3d打印机耗材 类ABS无需,https://item.taobao.com/item.htm?id=930515916047&mi_id=0000nY6biu1Rr_Gn6NTrYB1Or6Mk5s3zjsbEDpM_0_BNzOg,白色,1.0,￥93.00,￥274.80,￥0.00,顺丰速运,SF5120405945618,3.202216358793828e+18,274.8,2026-01-23,polymaker旗舰店,【优惠价】[新品] Polymaker HT-PLA 耐高温PLA HT-PLA-GF 3d打印机耗材 类ABS无需,,,
,,,,【优惠价】[新品] Polymaker HT-PLA 耐高温PLA HT-PLA-GF 3d打印机耗材 类ABS无需,https://item.taobao.com/item.htm?id=930515916047&mi_id=0000nY6biu1Rr_Gn6NTrYB1Or6Mk5s3zjsbEDpM_0_BNzOg,彩虹渐变,1.0,￥109.00,,,顺丰速运,SF5120405945618,,,,nan,【优惠价】[新品] Polymaker HT-PLA 耐高温PLA HT-PLA-GF 3d打印机耗材 类ABS无需,,,
